dt,portfolio_id,nav
2018-11-07,a000Y000019ZliRQAS,101829.58
2018-11-06,a000Y000019ZliRQAS,100899.46
2018-11-05,a000Y000019ZliRQAS,100674.7
2018-11-04,a000Y000019ZliRQAS,100669.31
2018-11-03,a000Y000019ZliRQAS,100669.31
2018-11-02,a000Y000019ZliRQAS,100564.67
2018-11-01,a000Y000019ZliRQAS,100390.48
2018-10-31,a000Y000019ZliRQAS,99916.18
2018-10-30,a000Y000019ZliRQAS,98462.58
2018-10-29,a000Y000019ZliRQAS,97928.04
2018-10-28,a000Y000019ZliRQAS,97959.77
2018-10-27,a000Y000019ZliRQAS,97959.77
2018-10-26,a000Y000019ZliRQAS,98098.89
2018-10-25,a000Y000019ZliRQAS,99014.49
2018-10-24,a000Y000019ZliRQAS,98302.21
2018-10-23,a000Y000019ZliRQAS,99316.94
2018-10-22,a000Y000019ZliRQAS,100212.37
2018-10-21,a000Y000019ZliRQAS,100355.74
2018-10-20,a000Y000019ZliRQAS,100355.74
2018-10-19,a000Y000019ZliRQAS,100664.3
2018-10-18,a000Y000019ZliRQAS,100524.73
2018-10-17,a000Y000019ZliRQAS,100993.13
2018-10-16,a000Y000019ZliRQAS,100791.24
2018-10-15,a000Y000019ZliRQAS,99778.66
2018-10-14,a000Y000019ZliRQAS,99977.25
2018-10-13,a000Y000019ZliRQAS,99977.25
2018-10-12,a000Y000019ZliRQAS,99822.81
2018-10-11,a000Y000019ZliRQAS,99744.27
2018-10-10,a000Y000019ZliRQAS,101878.17
2018-10-09,a000Y000019ZliRQAS,103548.95
2018-10-08,a000Y000019ZliRQAS,103547.36
2018-10-07,a000Y000019ZliRQAS,103826.87
2018-10-06,a000Y000019ZliRQAS,103826.87
2018-10-05,a000Y000019ZliRQAS,103881.92
2018-10-04,a000Y000019ZliRQAS,104609.13
2018-10-03,a000Y000019ZliRQAS,105124.19
2018-10-02,a000Y000019ZliRQAS,105030.1
2018-10-01,a000Y000019ZliRQAS,105070.88
2018-09-30,a000Y000019ZliRQAS,104955.44
2018-09-29,a000Y000019ZliRQAS,104955.44
2018-09-28,a000Y000019ZliRQAS,104762.54
2018-09-27,a000Y000019ZliRQAS,104243.58
2018-09-26,a000Y000019ZliRQAS,103950.55
2018-09-25,a000Y000019ZliRQAS,104013.71
2018-09-24,a000Y000019ZliRQAS,103863.28
2018-09-23,a000Y000019ZliRQAS,104375.24
2018-09-22,a000Y000019ZliRQAS,104375.24
2018-09-21,a000Y000019ZliRQAS,104246.98
2018-09-20,a000Y000019ZliRQAS,104395.14
2018-09-19,a000Y000019ZliRQAS,104028.04
2018-09-18,a000Y000019ZliRQAS,103534.17
2018-09-17,a000Y000019ZliRQAS,103299.84
2018-09-16,a000Y000019ZliRQAS,103580.0
2018-09-15,a000Y000019ZliRQAS,103580.0
2018-09-14,a000Y000019ZliRQAS,103284.83
2018-09-13,a000Y000019ZliRQAS,103367.8
2018-09-12,a000Y000019ZliRQAS,103054.04
2018-09-11,a000Y000019ZliRQAS,102964.84
2018-09-10,a000Y000019ZliRQAS,103132.24
2018-09-09,a000Y000019ZliRQAS,103103.53
2018-09-08,a000Y000019ZliRQAS,103103.53
2018-09-07,a000Y000019ZliRQAS,102752.46
2018-09-06,a000Y000019ZliRQAS,102750.83
2018-09-05,a000Y000019ZliRQAS,103199.98
2018-09-04,a000Y000019ZliRQAS,103818.17
2018-09-03,a000Y000019ZliRQAS,104357.71
2018-09-02,a000Y000019ZliRQAS,104405.52
2018-09-01,a000Y000019ZliRQAS,104405.52
2018-08-31,a000Y000019ZliRQAS,104058.13
2018-08-30,a000Y000019ZliRQAS,103965.58
2018-08-29,a000Y000019ZliRQAS,104367.07
2018-08-28,a000Y000019ZliRQAS,104171.55
2018-08-27,a000Y000019ZliRQAS,104178.77
2018-08-26,a000Y000019ZliRQAS,103694.01
2018-08-25,a000Y000019ZliRQAS,103694.01
2018-08-24,a000Y000019ZliRQAS,104107.65
2018-08-23,a000Y000019ZliRQAS,103581.13
2018-08-22,a000Y000019ZliRQAS,103982.3
2018-08-21,a000Y000019ZliRQAS,104378.49
2018-08-20,a000Y000019ZliRQAS,104454.38
2018-08-19,a000Y000019ZliRQAS,104094.4
2018-08-18,a000Y000019ZliRQAS,104094.4
2018-08-17,a000Y000019ZliRQAS,104394.05
2018-08-16,a000Y000019ZliRQAS,104462.03
2018-08-15,a000Y000019ZliRQAS,104501.44
2018-08-14,a000Y000019ZliRQAS,104697.56
2018-08-13,a000Y000019ZliRQAS,104181.07
2018-08-12,a000Y000019ZliRQAS,104837.9
2018-08-11,a000Y000019ZliRQAS,104837.9
2018-08-10,a000Y000019ZliRQAS,104264.48
2018-08-09,a000Y000019ZliRQAS,104479.25
2018-08-08,a000Y000019ZliRQAS,104563.23
2018-08-07,a000Y000019ZliRQAS,104856.11
2018-08-06,a000Y000019ZliRQAS,104365.5
2018-08-05,a000Y000019ZliRQAS,104240.94
2018-08-04,a000Y000019ZliRQAS,104240.94
2018-08-03,a000Y000019ZliRQAS,104156.73
2018-08-02,a000Y000019ZliRQAS,103389.12
2018-08-01,a000Y000019ZliRQAS,103466.89
2018-07-31,a000Y000019ZliRQAS,103405.03
2018-07-30,a000Y000019ZliRQAS,103579.57
2018-07-29,a000Y000019ZliRQAS,104081.26
2018-07-28,a000Y000019ZliRQAS,104081.26
2018-07-27,a000Y000019ZliRQAS,104151.33
2018-07-26,a000Y000019ZliRQAS,103777.52
2018-07-25,a000Y000019ZliRQAS,103942.73
2018-07-24,a000Y000019ZliRQAS,103444.52
2018-07-23,a000Y000019ZliRQAS,102688.61
2018-07-22,a000Y000019ZliRQAS,102777.18
2018-07-21,a000Y000019ZliRQAS,102777.18
2018-07-20,a000Y000019ZliRQAS,103126.98
2018-07-19,a000Y000019ZliRQAS,103189.93
2018-07-18,a000Y000019ZliRQAS,103244.54
2018-07-17,a000Y000019ZliRQAS,102847.69
2018-07-16,a000Y000019ZliRQAS,102653.45
2018-07-15,a000Y000019ZliRQAS,102953.19
2018-07-14,a000Y000019ZliRQAS,102953.19
2018-07-13,a000Y000019ZliRQAS,103023.84
2018-07-12,a000Y000019ZliRQAS,102643.11
2018-07-11,a000Y000019ZliRQAS,102017.62
2018-07-10,a000Y000019ZliRQAS,102744.09
2018-07-09,a000Y000019ZliRQAS,102505.98
2018-07-08,a000Y000019ZliRQAS,101708.32
2018-07-07,a000Y000019ZliRQAS,101708.32
2018-07-06,a000Y000019ZliRQAS,101966.5
2018-07-05,a000Y000019ZliRQAS,101560.99
2018-07-04,a000Y000019ZliRQAS,101324.16
2018-07-03,a000Y000019ZliRQAS,101408.48
2018-07-02,a000Y000019ZliRQAS,101102.19
2018-07-01,a000Y000019ZliRQAS,101743.93
2018-06-30,a000Y000019ZliRQAS,101743.93
2018-06-29,a000Y000019ZliRQAS,102282.28
2018-06-28,a000Y000019ZliRQAS,101854.65
2018-06-27,a000Y000019ZliRQAS,101564.46
2018-06-26,a000Y000019ZliRQAS,101502.03
2018-06-25,a000Y000019ZliRQAS,101640.73
2018-06-24,a000Y000019ZliRQAS,103014.47
2018-06-23,a000Y000019ZliRQAS,103014.47
2018-06-22,a000Y000019ZliRQAS,103266.11
2018-06-21,a000Y000019ZliRQAS,103063.33
2018-06-20,a000Y000019ZliRQAS,103684.05
2018-06-19,a000Y000019ZliRQAS,103236.45
2018-06-18,a000Y000019ZliRQAS,103881.82
2018-06-17,a000Y000019ZliRQAS,104398.53
2018-06-16,a000Y000019ZliRQAS,104398.53
2018-06-15,a000Y000019ZliRQAS,104598.26
2018-06-14,a000Y000019ZliRQAS,104561.72
2018-06-13,a000Y000019ZliRQAS,104512.91
2018-06-12,a000Y000019ZliRQAS,104468.69
2018-06-11,a000Y000019ZliRQAS,104511.47
2018-06-10,a000Y000019ZliRQAS,103991.19
2018-06-09,a000Y000019ZliRQAS,103991.19
2018-06-08,a000Y000019ZliRQAS,103832.07
2018-06-07,a000Y000019ZliRQAS,103917.12
2018-06-06,a000Y000019ZliRQAS,104298.65
2018-06-05,a000Y000019ZliRQAS,104095.26
2018-06-04,a000Y000019ZliRQAS,104397.42
2018-06-03,a000Y000019ZliRQAS,103909.97
2018-06-02,a000Y000019ZliRQAS,103909.97
2018-06-01,a000Y000019ZliRQAS,103827.15
2018-05-31,a000Y000019ZliRQAS,103142.93
2018-05-30,a000Y000019ZliRQAS,104086.26
2018-05-29,a000Y000019ZliRQAS,103077.24
2018-05-28,a000Y000019ZliRQAS,103900.78
2018-05-27,a000Y000019ZliRQAS,103844.43
2018-05-26,a000Y000019ZliRQAS,103844.43
2018-05-25,a000Y000019ZliRQAS,103544.59
2018-05-24,a000Y000019ZliRQAS,103308.4
2018-05-23,a000Y000019ZliRQAS,103029.2
2018-05-22,a000Y000019ZliRQAS,103565.34
2018-05-21,a000Y000019ZliRQAS,103388.69
2018-05-20,a000Y000019ZliRQAS,103211.76
2018-05-19,a000Y000019ZliRQAS,103211.76
2018-05-18,a000Y000019ZliRQAS,103130.93
2018-05-17,a000Y000019ZliRQAS,103254.05
2018-05-16,a000Y000019ZliRQAS,103009.59
2018-05-15,a000Y000019ZliRQAS,102258.23
2018-05-14,a000Y000019ZliRQAS,102643.34
2018-05-13,a000Y000019ZliRQAS,102455.25
2018-05-12,a000Y000019ZliRQAS,102455.25
2018-05-11,a000Y000019ZliRQAS,102582.85
2018-05-10,a000Y000019ZliRQAS,102395.17
2018-05-09,a000Y000019ZliRQAS,101985.53
2018-05-08,a000Y000019ZliRQAS,101295.54
2018-05-07,a000Y000019ZliRQAS,100945.83
2018-05-06,a000Y000019ZliRQAS,100582.4
2018-05-05,a000Y000019ZliRQAS,100582.4
2018-05-04,a000Y000019ZliRQAS,100450.0
2018-05-03,a000Y000019ZliRQAS,99744.71
2018-05-02,a000Y000019ZliRQAS,100281.17
2018-05-01,a000Y000019ZliRQAS,99754.03
2018-04-30,a000Y000019ZliRQAS,99923.08
2018-04-29,a000Y000019ZliRQAS,99892.3
2018-04-28,a000Y000019ZliRQAS,99892.3
2018-04-27,a000Y000019ZliRQAS,99984.35
2018-04-26,a000Y000019ZliRQAS,99503.86
2018-04-25,a000Y000019ZliRQAS,98457.4
2018-04-24,a000Y000019ZliRQAS,98850.89
2018-04-23,a000Y000019ZliRQAS,98996.17
2018-04-22,a000Y000019ZliRQAS,98828.6
2018-04-21,a000Y000019ZliRQAS,98828.6
2018-04-20,a000Y000019ZliRQAS,98618.18
2018-04-19,a000Y000019ZliRQAS,98762.64
2018-04-18,a000Y000019ZliRQAS,99161.01
2018-04-17,a000Y000019ZliRQAS,98777.79
2018-04-16,a000Y000019ZliRQAS,98451.72
2018-04-15,a000Y000019ZliRQAS,98242.98
2018-04-14,a000Y000019ZliRQAS,98242.98
2018-04-13,a000Y000019ZliRQAS,98260.77
2018-04-12,a000Y000019ZliRQAS,98250.77
2018-04-11,a000Y000019ZliRQAS,97912.21
2018-04-10,a000Y000019ZliRQAS,98541.46
2018-04-09,a000Y000019ZliRQAS,98117.96
2018-04-08,a000Y000019ZliRQAS,97755.08
2018-04-07,a000Y000019ZliRQAS,97755.08
2018-04-06,a000Y000019ZliRQAS,97896.64
2018-04-05,a000Y000019ZliRQAS,98751.83
2018-04-04,a000Y000019ZliRQAS,97345.18
2018-04-03,a000Y000019ZliRQAS,97156.26
2018-04-02,a000Y000019ZliRQAS,97622.24
